Saliency,Classifier,Extractor,Concept Presence,Classes,Wall,Window,Roof,Facade,Tree,Vegetation,Rock,Ice,Mountain Peak,Boat,Beach,Water,Sky,Sidewalk,Streetlights,Car,WOE Score
rise,resnet,florence,casp,forest,-1.395760301443827,-9.240240424984652,-3.025870655419883,-0.5693722382021424,-0.1058772152036775,-1.0917503607490096,-0.6734133007190475,-1.5527933687406037,-9.577387747431022,-2.5408770150278164,-1.1228743416762836,-2.311044663256202,-2.3322214715128324,-0.8304874270364495,-2.105357454030416,-8.121856940668845,1.959581637746727
rise,resnet,florence,casp,glacier,-0.477575353083798,-2.005097234400832,-1.598557691622578,0.3228708445793324,-1.3926188253236926,-1.8115569209944653,0.994881609982819,1.3319051610641792,0.6517047110927441,-0.1146814991749018,-0.4651443270695716,-0.3911214713090336,0.2652657619869425,-1.1338613857105324,-1.749101017444071,-1.983216904934728,7.922928147035317
rise,resnet,florence,casp,mountain,-0.3319632908986414,-1.5971803000089837,-1.4889799005736324,0.4271531915669779,-0.0072986532350944,-1.5627981101755466,0.3430339172227763,0.0517531230677916,1.437474357370569,-0.223276872687745,0.1199439244257223,0.2477527551995753,0.7020971105328724,-1.3142840544774284,-0.4320241981514054,-7.864291638367074,0.8049212370000673
rise,resnet,florence,casp,sea,0.0279547443090848,-8.953729998829763,-0.5809264279308501,0.313526689897512,-1.225858533707279,-1.5338529863224264,0.9334358657892006,0.8026770844952011,0.0388990531460116,0.6517744837774415,0.8707969492895591,1.2905455586144434,0.1722350495449633,-0.2956352941436693,0.4122708150570267,-7.835346514513954,11.539515299096108
rise,resnet,florence,casp,street,1.2195434870181532,2.313900365830075,2.155508609546996,0.0607642548779381,1.466924810462476,1.4765678063969412,-2.7273177919035767,-1.6412639234047226,-0.9016634670969303,1.1567952874166982,0.6599160616605821,0.1636290115648511,0.4166838693858408,1.9578387748330597,1.6943802713330662,3.5202758865367447,9.961644084927316
rise,resnet,florence,iou,buildings,0.5763381908568027,2.589663476595949,1.8453513843755864,-0.8819272364953437,-0.617696683275075,-1.2744966874114738,-3.876789029276817,-3.567387496042783,-3.1668523083648186,-0.1716811669742382,-1.9665259798341803,-2.1355396842483056,-0.3220737005131098,-1.034322568018842,-0.0109453890872763,-0.5687193229092358,12.859758159537307
rise,resnet,florence,iou,forest,-2.660750863827728,-7.487852059735943,-8.442968076349992,-0.142616687608668,0.4677083994163127,0.6606899406174673,-3.373551808045669,-3.316249079267432,-10.565209385753118,-7.975307274436376,-0.0261429760681382,-1.8953983405506023,-2.808849528997449,-0.599829955982079,-6.236693913182336,-6.0141114416496855,12.271856028567868
rise,resnet,florence,iou,glacier,-0.0730336197753613,-1.3211714681745534,-1.3636483562240316,0.317948047314339,-1.190927498122325,-0.1420561669508657,1.1716221057406229,1.2913442548800702,0.9415957227062394,-1.831724513345362,0.3550319733147584,0.4429143362200467,-0.0283897174421334,-1.7000670138730416,-6.227887421699485,-6.005304950166835,16.031417371268912
rise,resnet,florence,iou,mountain,-0.3753624892308134,-7.230286757434174,-2.064112656809849,0.4523257997222962,1.040930707571424,0.9693356047846468,0.6954934467888516,0.1424160700729546,2.0101009815484256,-1.5829657025264432,0.0305594221294918,-0.0514265932730568,0.7971870426053704,-1.7344583172229402,-5.979128610880566,-5.756546139347916,10.886392142623155
rise,resnet,florence,iou,sea,-0.2274268261894934,-7.201341633581054,-0.8920797785127048,0.057946853168318,-1.7743348014761722,-0.4509421867792249,0.8292337423600149,1.1299188833181295,-1.2428515778936875,0.9848102845138836,0.7793085695465038,1.7148166010333037,0.6158170452900884,-0.4710926724419204,-0.4369045915490122,-5.727601015494795,10.937862106478537
rise,resnet,florence,iou,street,0.919152837715098,0.3372373216078834,0.7696139642166444,0.0003100586455808,0.4269255264450027,-1.1659484524067374,-2.075601393284272,-2.330574422385718,-3.616482286073727,1.665416552666327,-0.1734060340363836,-1.1957481000253745,-0.0221669102009758,2.4808955803822443,2.753268020866557,3.837101715438549,15.839447743435034
rise,resnet,groundingdino,cas,buildings,-0.2413707612698556,0.1925276151435391,0.4501274360860612,1.332753314333781,0.2180782537054379,-1.0536969921052288,-1.8347177208950065,-9.226389163324008,-1.354470311832875,-1.4046106903549596,-0.6305787891434835,-1.549433938337019,-0.3515254233771536,-0.803707393973202,0.6827479378860878,-0.0514019742477587,14.234668346879145
rise,resnet,groundingdino,cas,forest,-2.1483215223577927,-0.9724391552558148,-0.8579910767419641,-1.7915521604649256,-0.3643912387957835,1.1340372425301135,-1.4824414758902074,-1.6016012257503998,-3.155800638089115,-3.1831899452532677,-0.511447837171485,-2.7946318909854737,-1.398827118012556,-0.6758537172433172,-1.6544205908919145,-3.104379143901041,6.303931579083234
rise,resnet,groundingdino,cas,glacier,0.4853865967069299,-0.0189538625805734,-0.0594817387802533,-1.5280604715727013,-1.054404504337242,-0.5648520628166467,0.7538906953448731,2.0836008375614385,0.7718680121687596,-0.3243710126250816,-0.4118113818875148,0.6224877524263169,0.0180927039404366,0.5593561530808069,-2.378458035075272,-3.09557265241819,8.389096663120464
rise,resnet,groundingdino,cas,mountain,-0.5532568952237182,0.3736737252316604,-0.1269100013161586,-1.1650898120417457,0.2527534978906971,0.4689430011687345,0.705007160663762,0.5012605296570705,1.1176227193448431,-0.6996749131070248,-0.1666420474174443,0.292512459479767,0.5700236193629955,-0.6161692367654925,-1.434108935824704,-2.0981395864785446,5.455463000850048
rise,resnet,groundingdino,cas,sea,0.3930780303294572,-0.1780839410456616,0.1468606963034036,-1.016157400970272,-0.3388058875326267,-0.4923605213079542,0.7994227520771233,-0.6454462045160572,0.4264654225837097,2.5286442925881136,0.6151505881956221,1.4197518959904645,0.5702743485661024,0.1651034572170051,-0.7939559659363873,-2.1145829401235225,8.067552700295504
rise,resnet,groundingdino,cas,street,0.7737809092522925,0.3428650818494052,0.1742214446350172,1.139458101395513,0.839026713902572,-0.64342609263889,-1.15369623505951,-8.689499690418845,-1.298875726398388,-1.6959081626119985,0.8524436014969183,-1.586490660344419,0.055243466701625,0.8290880466998465,1.8773717462383503,2.9819220067640013,18.900952579559373
